recvTime,entityId,entityType,refDevice,location,status
2025-02-27 15:00:41+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:21:55+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:22:00+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:22:13+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:23:11+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:23:25+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:23:33+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:23:46+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:23:57+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:24:44+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:24:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:25:13+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:25:17+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:25:32+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:25:34+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:25:58+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:26:00+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:30:10+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:30:20+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:31:02+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:32:14+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:32:31+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:34:39+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:39:13+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:39:14+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:39:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:39:31+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:41:15+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:41:26+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:42:05+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:42:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:43:41+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:45:38+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:48:39+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:48:46+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:48:57+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:48:58+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:49:28+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:49:59+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:50:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:50:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:55:11+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:55:17+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:55:22+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:55:36+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 17:56:16+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 17:56:28+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:02:26+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:02:28+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:04:28+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:04:35+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:05:14+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:05:17+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:06:50+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:07:04+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:10:22+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:10:23+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:10:48+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:10:53+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:12:12+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:12:41+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:13:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:14:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:15:54+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:16:24+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:17:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:18:47+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:20:25+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:20:42+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:21:55+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:22:40+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:25:15+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:25:16+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:26:39+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:26:57+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:27:04+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:29:55+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:32:14+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:32:15+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:33:26+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:33:48+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:35:54+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:35:59+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:36:01+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:36:02+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:37:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:37:33+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:39:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:39:46+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:40:45+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:40:56+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:43:58+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:44:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:45:41+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:47:15+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:47:29+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:48:18+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:48:22+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:49:27+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:49:28+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:56:08+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:56:10+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:58:08+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
2025-02-27 18:58:09+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",occupied
2025-02-27 18:59:44+00:00,urn:ngsi-ld:ParkingSpot:0008,ParkingSpot,urn:ngsi-ld:SlpCamera:033-1,"{""type"":""Point"",""coordinates"":[-8.648379313,40.632476323]}",free
